unique_squirrel_id,kuks,quaas,moans
4G-AM-1006-02,False,False,False
12F-PM-1007-04,False,False,False
3B-AM-1010-08,False,False,False
17H-PM-1007-02,False,False,False
38G-PM-1020-01,False,False,False
4D-PM-1008-06,False,False,False
3G-PM-1013-01,False,False,False
15H-PM-1008-03,False,False,False
14G-PM-1013-01,False,False,False
5D-AM-1020-01,False,False,False
5C-AM-1006-02,False,False,False
42H-AM-1019-02,False,False,False
38A-PM-1013-03,False,False,False
7G-PM-1018-05,False,False,False
31A-AM-1010-05,False,False,False
22C-AM-1013-03,False,False,False
36F-PM-1012-04,False,False,False
30D-AM-1017-02,False,False,False
5C-AM-1006-03,False,False,False
13H-PM-1010-05,False,False,False
10F-PM-1019-02,False,False,False
5I-PM-1008-01,False,False,False
16D-PM-1010-13,False,False,False
21G-AM-1014-07,False,False,False
22B-PM-1014-05,False,False,False
3D-AM-1006-08,False,False,False
39H-AM-1007-01,False,False,False
6D-PM-1020-01,False,False,False
12E-PM-1018-06,False,False,False
14D-PM-1019-04,False,False,False
3E-PM-1008-03,False,False,False
17F-PM-1020-03,False,False,False
22D-PM-1012-04,False,False,False
8A-AM-1013-03,False,False,False
7E-AM-1006-03,False,False,False
42G-PM-1014-03,False,False,False
28C-PM-1006-02,False,False,False
2D-AM-1007-03,False,False,False
32E-AM-1007-10,False,False,False
12C-AM-1013-03,False,False,False
8F-PM-1012-04,False,False,False
2H-AM-1006-02,False,False,False
36I-AM-1017-05,False,False,False
32B-AM-1017-03,False,False,False
37E-PM-1006-04,False,False,False
12B-AM-1007-02,False,False,False
4E-PM-1008-08,False,False,False
14A-PM-1014-01,False,False,False
15F-PM-1010-07,False,False,False
9B-PM-1013-07,False,False,False
8C-PM-1013-05,False,False,False
6B-PM-1017-04,False,False,False
5D-AM-1020-02,False,False,False
40A-AM-1010-04,False,False,False
4E-AM-1020-01,False,False,False
32E-AM-1007-01,False,False,False
32E-PM-1017-04,False,False,False
2D-PM-1012-02,False,False,False
6F-PM-1008-05,False,False,False
10B-PM-1014-02,False,False,False
3C-PM-1008-02,False,False,False
7F-AM-1008-02,False,False,False
38D-AM-1017-02,False,False,False
10C-PM-1013-04,False,False,False
26I-PM-1010-02,False,False,False
10A-AM-1006-03,False,False,False
1B-AM-1012-07,False,False,False
9A-PM-1010-04,False,False,False
3D-AM-1006-03,False,False,False
37H-AM-1018-03,False,True,False
7F-AM-1008-09,False,False,False
6A-AM-1006-06,True,False,False
32I-AM-1013-05,False,False,False
7H-PM-1006-02,False,False,False
2E-PM-1014-05,False,False,False
12F-AM-1020-02,False,False,False
14E-AM-1008-01,False,False,False
4B-PM-1018-03,False,False,False
5E-PM-1012-02,False,False,False
15F-AM-1007-09,False,False,False
31F-PM-1007-01,False,False,False
8B-PM-1012-03,False,False,False
23D-AM-1013-01,False,False,False
39H-PM-1013-01,False,False,False
38C-AM-1019-04,True,True,False
30B-PM-1019-08,False,False,False
4F-PM-1013-04,False,False,False
3E-PM-1008-05,False,False,False
35A-AM-1014-05,False,False,False
5A-PM-1010-01,False,False,False
33I-AM-1008-03,False,False,False
37C-PM-1013-03,False,False,False
33B-PM-1010-11,False,False,False
10G-PM-1017-06,False,False,False
37I-AM-1010-01,False,False,False
37G-PM-1007-07,False,False,False
11G-AM-1012-01,False,False,False
13C-PM-1019-01,True,False,False
20A-AM-1010-02,False,False,False
15A-PM-1017-01,False,False,False
16E-AM-1014-02,False,False,False
37E-PM-1006-06,False,False,False
22C-AM-1013-01,False,False,False
16F-PM-1013-02,False,False,False
8H-AM-1017-04,False,False,False
1G-PM-1010-01,False,False,False
20A-PM-1017-01,False,False,False
37B-AM-1018-03,False,False,False
15F-PM-1010-03,False,False,False
37E-PM-1006-09,False,False,False
35D-PM-1013-03,False,False,False
36I-AM-1017-06,False,False,False
3I-PM-1013-07,False,False,False
12G-PM-1007-04,False,False,False
4D-PM-1008-08,False,False,False
39H-AM-1007-02,False,False,False
8C-PM-1013-08,False,False,False
15E-PM-1008-05,False,True,False
10I-AM-1010-03,False,False,False
32I-AM-1013-01,False,False,False
19B-PM-1018-05,False,False,False
3B-PM-1007-03,False,False,False
35E-PM-1006-06,False,False,False
38C-AM-1019-07,False,False,False
19H-AM-1010-05,False,False,False
32D-PM-1006-09,False,False,False
39G-PM-1013-04,False,False,False
38G-PM-1020-10,False,False,False
34I-PM-1010-01,False,False,False
12A-PM-1013-04,False,False,False
19F-AM-1007-02,False,False,False
20C-PM-1018-09,False,False,False
22A-PM-1017-01,False,False,False
33I-PM-1006-07,False,False,False
36E-AM-1013-03,False,False,False
32F-AM-1012-01,False,False,False
28D-AM-1012-02,False,False,False
10G-AM-1006-01,False,False,False
39G-PM-1013-07,False,False,False
21E-PM-1012-02,False,False,False
17E-PM-1018-03,False,False,False
14D-AM-1014-03,False,False,False
39F-PM-1006-03,False,False,False
10F-PM-1019-11,False,False,False
27A-PM-1006-01,False,False,False
18D-AM-1018-02,False,False,False
6A-AM-1006-03,False,False,False
4E-PM-1008-04,False,False,False
27I-PM-1020-05,False,False,False
10A-PM-1014-04,False,False,False
14I-PM-1018-05,False,False,False
1H-AM-1012-01,False,False,False
8H-PM-1014-05,False,False,False
30E-AM-1008-01,False,False,False
16A-PM-1019-04,False,False,False
8B-PM-1012-06,False,False,False
8F-PM-1012-03,False,False,False
11E-AM-1013-02,False,False,False
22I-AM-1007-03,False,False,False
37G-PM-1007-09,False,False,False
15F-AM-1007-04,False,False,False
13E-AM-1017-08,False,False,False
14D-AM-1014-10,False,False,False
7H-AM-1006-06,False,False,False
1H-PM-1013-01,False,False,False
41C-PM-1007-04,False,False,False
29B-PM-1010-05,False,False,False
6D-PM-1020-03,False,False,False
15B-PM-1017-05,False,False,False
18I-AM-1017-03,False,False,False
